ББТ ООО,,"220114  Минск , Скорины, 52-68",['(+375-17) 2659392'],[]
Белбохем УП,,"220073  Минск , Ольшевского, 10-604",['(+375-17) 2070690'],[]
Белкас ПООО,,"222310  Молодечно , Металлистов, 2/а",['(+375-1773) 65314'],[]
Белорбытхим ООО,,"220090  Минск , Логойский тракт, 37 (комн. 6, оф. 14)",['(+375-17) 2611419'],['info@bbh.by']
Борисовский завод бытовой химии ОАО,,"222120  Борисов , Советская, 14/а",['(+375-177) 721552'],[]
Будмаш ОДО,,"246020  Гомель , Индустриальный проезд, 3",['(+375-232) 460180'],[]
БЫТОВАЯ ХИМИЯ Магазин,,"220015  Минск , Одоевского, 95",['(+375-17) 2908262'],[]
БЫТОВАЯ ХИМИЯ Магазин,,"231800  Слоним , Школьная, 4",['(+375-1562) 24778'],[]
БЫТОВАЯ ХИМИЯ Магазин ИП Колесник В.В.,,"220028  Минск , Маяковского, 158",['(+375-29) 1757798'],[]
ВТФ АВКО ООО,,"220113  Минск , Лукьяновича, 10",['(+375-17) 2371709'],[]
ВЫСОКИЙ ТЕРЕМ ООО Компания,,"220018  Минск , Якубовского, 30/2-6",['(+375-17) 3137887'],[]
Гранд-Сервис ПКФ ООО,,"210033  Витебск , Лазо, 110/в-403а",['(+375-212) 261604'],[]
Дамавик-про ООО,,"220090  Минск , Логойский тракт, 37 (пом. 6, оф. 15)",['(+375-17) 2611419'],['info@bbh.by']
ДИАМАК ООО,,"220113  Минск , Лукьяновича, 10",['(+375-17) 2816783'],[]
ЗАВОД МОЮЩИХ СРЕДСТВ ЧПУП,,"212003  Могилев , Челюскинцев, 105-3",['(+375-222) 315681'],[]
Интерактивсити ООО,,"247760  Мозырь , Березовый пер., 10-19",['(+375-29) 3890706'],[]
КАЛИНКОВИЧСКИЙ ЗАВОД БЫТОВОЙ ХИМИИ КУП,,"247710  Калинковичи , Чехова, 17",['(+375-2345) 47192'],[]
Карина Производственная фирма,,"247400  Светлогорск , 50 лет Октября, 12",['(+375-2342) 27647'],[]
КАФЕРАЛЬ ООО Магазин,,"220104  Минск , Жудро, 35",['(+375-29) 6597040'],[]
Кварцин НП ОДО,,"220018  Минск , Шаранговича, 19-521",['(+375-17) 2590165'],[]
ЛАВАДА Магазин ИП Моисеев А. И.,,"224005  Брест , Советская, 41",['(+375-29) 6436439'],[]
Мариола ПКЦ ООО,,"231300  Лида , а/я № 151",['(+375-1561) 26956'],[]
МИЯ-МАРКЕТ ООО,,"220013  Минск , П. Бровки, 12",['(+375-17) 2021284'],[]
Олигард ООО,,"220140  Минск , Притыцкого, 62/2-506а",['(+375-17) 2534158'],[]
ПарфюмБытХим СООО,,"220121  Минск , Матусевича, 33/а",['(+375-17) 2168887'],[]
Прилив ООО,,"220012  Минск , К. Чорного, 31",['(+375-17) 2873355'],[]
Ромакс-косметик ООО,,"220113  Минск , Восточная, 129-117",['(+375-17) 2933561'],['info@romax.by']
РОЯЛ МАРТ ЧТУП,,"222120  Борисов , 3-го Интернационала, 58-3",['(+375-177) 747238'],[]
Саттарова О.Н. ИП,,"213800  Бобруйск , 50 лет ВЛКСМ, 30",['(+375-29) 6919369'],[]
СИМАРТ ЧТУП,,"225384  Барановичи , Царюка, 61/1",['(+375-163) 411769'],['simart1@mail.ru']
СитиТрубПласт,,"220075  Минск , Инженерная, 28-39",['(+375-17) 3462303'],[]
СОЛАРА ООО,,"220125  Минск , Уручская, 23/а-208",['(+375-17) 2665204'],['solara1@tut.by']
Статкевич В.М. ИП,,"220113  Минск , Лукьяновича, 10",['(+375-29) 7662814'],[]
"Торговый Дом ""МЕГАХИМ"" ООО",,"220140  Минск , Лещинского, 8/5-420",['(+375-17) 2546410'],[]
Торговый союз - Новый Век ООО,,"210015  Витебск , Черняховского пр-т, 9",['(+375-212) 221333'],[]
Флир ООО,,"231750   , Путришки п/о, Аульс ст.",['(+375-152) 991136'],[]
ФОДИС,,"Минск , Бехтерева пер., 8, офис 312",['(+375-29) 6333713'],[]
Хака Беларусь / Haka Belarus,,"Минск , Мичурина, 3, офис 114",['(+375-17) 2974854'],[]
Центробытхим ООО,,"220103  Минск , Калиновского, 6",['(+375-17) 2839788'],[]
ЭмВай / AmWay,,"Минск , Старовиленский тракт, 73, помещение 37",['(+375-44) 7907374'],[]
ЭСТОС-М ЗАВОД МОЮЩИХ СРЕДСТВ ОДО,,"220103  Минск , Кнорина, 50",['(+375-17) 2815492'],[]
