ЭкономДом ООО,"Котлы, колонки, радиаторы, теплый пол, трубы, бойлеры, счетчики газовые.","225320  Барановичи , Базисная, 3","['(+375-163) 602260', '(+375-33) 3029029', '(+375-29) 9548363', '(+375-29) 7221561']","['economdom@bk.ru', 'http://www.economdom.by']"
Према ОАО,"Производство электрооборудования, частей, принадлежностей автомобилей.","213410  Горки , Черникова, 15","['(+375-2233) 44837', '(+375-2233) 44750', '(+375-29) 3298581', '(+375-2233) 44939', '(+375-2233) 44841', '(+375-2233) 44840']","['prema.omts@mail.ru', 'http://www.prema.by']"
Стройматериалы ОДО,"Широкий выбор строительных и отделочных материалов: цемент, блоки, кирпич, сухие смеси, известь, утеплители, ДВП, ДСП, фанера, пиломатериалы, шифер, плитка керамическая, напольные покрытия, ЛКМ, обои, метизы. Хозяйственные товары. Грузоперевозки по РБ.","225417  Барановичи , Базисная, 11","['(+375-163) 665962', '(+375-163) 664138', '(+375-163) 664249', '(+375-163) 669754', '(+375-163) 674140', '(+375-163) 664147', '(+375-163) 664144']","['torgmail@mail.ru', 'http://www.stroimateriali.by']"
Теплотех ООО,Производство воздушных теплогенераторов (котлов). Воздушное отопление.,"223411  Узда , К. Маркса, 21","['(+375-1718) 53321', '(+375-29) 3136053', '(+375-29) 8508121']","['teplotex.bel@gmail.com', 'http://teplogenerator.by']"
HeatOn,,"220045  Минск , Каролинская, 6",['(+375-29) 9870017'],['info@heaton.by']
TEPLODOMOV Интернет-магазин отопительного оборудования,,"220014  Минск , Софьи Ковалевской пер., 54-1",['(+375-29) 5867203'],['teplodomovby@yandex.by']
Vodateplo - продажа отопительного оборудования,,"220089  Минск , Дзержинского пр-т, 11-8",['(+375-17) 2501169'],['vodateplorb@yandex.by']
СтэмСервис ЧПУП,,"222823  Пуховичский р-н , Свислочь пос., Партизанская, 29а (кв. 19)",['(+375-17) 3280172'],[]
ЧУП Макил плюс,,"230029  Гродно , Томина, 18/1",['(+375-33) 6236109'],['makilstandart@mail.ru']
100котлов.бай / 100kotlov.by,,"Минск , Монтажников, 9, офис 74",['(+375-29) 6955771'],[]
АБЕ Групп,,"Минск , Малая, 1А",['(+375-17) 2280800'],[]
АБЕ Маркет,,"Минск , Малая, 1А",['(+375-29) 3621199'],[]
Акади,,"Минск , Казинца, 64А, кабинет 7",['(+375-29) 6467652'],[]
АльфаТрайпл,,"Минск , Короля, 9, офис 122",['(+375-17) 2007060'],[]
Атмос,,"Минск , Чехова, 3, офис 5",['(+375-17) 3273683'],[]
Атомсталь,,"Минск , Тимирязева, 67, кабинет 303",['(+375-17) 3880525'],[]
Белпаритет,,"Минск , Энгельса, 34А, офис 718",['(+375-17) 3283544'],[]
БелФактор,,"Минск , Ангарская, 3/1",['(+375-17) 2428402'],[]
ВАШ КАМИН,,"Минск , Матусевича, 58, помещение 189",['(+375-17) 3966023'],[]
Вило Бел / Wilo,,"Минск , Тимирязева, 67, офис 1101",['(+375-17) 396 34 46'],[]
Вогез.бай / Vogez.by,,"Минск , Орловская, 40А, помещение 50",['(+375-29) 6305247'],[]
Газ.Тепло.Вода на Чкалова,,"Минск , Чкалова, 20",['(+375-17) 2162416'],[]
Галмет-плюс,,"Минск , Партизанский пр-т, 2, офис 304",['(+375-17) 2984129'],[]
Геотерматекс,,"Минск , П. Бровки, 18, кабинет 5",['(+375-29) 7009893'],[]
ДВ-камин,,"Минск , Розы Люксембург",['(+375-29) 6928931'],[]
Делина-пласт,,"Минск , Ваупшасова, 10, офис 247, 4-й этаж",['(+375-17) 2848679'],[]
Дело Хозяйское,,"Минск , Победителей пр-т, 77",['(+375-17) 2094668'],[]
Дом котлов,,"Минск , Гамарника, 30",['(+375-17) 2273601'],[]
Дымоходы из нержавеющей стали,,"Минск , Партизанский пр-т, 28/2",['(+375-29) 6671313'],[]
Имола трейд,,"Минск , Некрасова, 114",['(+375-29) 6660343'],[]
ИП Калгин С. И.,,"Минск , Рокоссовского пр-т, 170",['(+375-29) 7509961'],[]
ИП Круглик А. П.,,"Минск , В. Хоружей, 42/2",['(+375-29) 6959910'],[]
ИП Шарадовский И. И.,,"Минск , Мелиоративный пер., 17",['(+375-17) 2804099'],[]
Камин-Дизайн,,"Минск , Мстиславца, 4",['(+375-29) 1677863'],[]
Котлов.бай / Kotlov.by,,"Минск , М. Лынькова, 19/2",['(+375-17) 2343366'],[]
Лиянистепло,,"Минск , В. Хоружей, 13, офис 604",['(+375-17) 2831919'],[]
МЕТРОМАШ,,"Минск , Селицкого, 15",['(+375-17) 3446713'],[]
Налан / Nalan.by,,"Минск , Притыцкого, 39, офис 3Н",['(+375-17) 224 21 77'],[]
Новитербел,,"Минск , Шаранговича, 19",['(+375-17) 5422721'],[]
Отопительная Компания,,"Минск , Партизанский пр-т, 2, офис 203",['(+375-17) 2984253'],[]
Отопительные приборы,,"Минск , В. Хоружей, 25/3, офис 602",['(+375-17) 2907451'],[]
Отопительный стандарт,,"Минск , Масюковщина пр-д, 4, офис 54",['(+375-17) 3123630'],[]
ОТС Плюс Про,,"Минск , Космонавтов, 6, офис 111",['(+375-17) 3623158'],[]
Планета Тепла,,"Минск , Богдановича, 37, офис 7",['(+375-17) 2895864'],[]
Престиж Тепло,,"Минск , 2-й Васнецова пер., 11",['(+375-17) 3459292'],[]
Проматикс,,"Минск , Инженерная, 1А, офис 4",['(+375-17) 3458787'],[]
РосБай,,"Минск , Партизанский пр-т, 8/14, офис 15",['(+375-17) 2981474'],[]
Системы Технологии Оборудование,,"Минск , 3-й Монтажников пер., 3А, помещение 20",['(+375-17) 3361090'],[]
Современные Энергосберегающие Системы,,"Минск , Каролинская, 6",['(+375-17) 3023697'],[]
ТарексиСервис,,"Минск , Партизанский пр-т, 168, помещение 26",['(+375-29) 1275030'],[]
Тепло.by,,"Минск , Стариновская, 2",['(+375-17) 2678866'],[]
Теплов,,"Минск , Белинского, 54, офис 269",['(+375-17) 3626297'],[]
Теплосфера,,"Минск , Будславская, 23/2",['(+375-29) 6013383'],[]
ТеплоФакт,,"Минск , Шаранговича, 53",['(+375-17) 2016356'],[]
Теплыйпол.бай / Teplypol.by,,"Минск , Корженевского, 1/2",['(+375-17) 2797271'],[]
ТехноТерм Энерджи,,"Минск , Победителей пр-т, 4, офис 32",['(+375-17) 2094668'],[]
Триапласт,,"Минск , Орловская, 18, офис 11",['(+375-17) 2934033'],[]
Форт,,"Минск , пересечение Долгиновского тракта и МКАД",['(+375-29) 6402200'],[]
